chip_number,orifice_size,aspect_ratio,expansion_ratio,normalized_orifice_length,normalized_water_inlet,normalized_oil_inlet,flow_rate_ratio,capillary_number,regime,generation_rate,droplet_size
724,150,3,4,1,3.5,2.5,19,0.0225,1,1.1401743796,248.6118616455
725,150,3,4,1,3.5,2.5,22,0.0225,1,0.6245407788,289.3581005002
726,175,1,6,2.5,3,2.5,10,0.0225,1,3.9014844804,165.2950629053
727,175,1,6,2.5,3,2.5,13,0.0225,1,2.9926025555,165.4521360366
728,175,1,6,2.5,3,2.5,16,0.0225,1,2.8852681602,156.2791791235
729,175,1,6,2.5,3,2.5,19,0.0225,1,1.9050802139,169.4783475353
730,175,1,6,2.5,3,2.5,22,0.0225,1,1.3026052104,183.1996667715
731,175,1.5,2,3,3.5,3,10,0.0225,1,3.2742155525,199.7559559403
732,175,1.5,2,3,3.5,3,13,0.0225,1,4.0677966102,170.2555581279
733,175,1.5,2,3,3.5,3,16,0.0225,1,3.1293463143,173.3847737331
734,175,1.5,2,3,3.5,3,19,0.0225,1,1.1463250169,228.831093392
735,175,1.5,2,3,3.5,3,22,0.0225,1,0.6456820016,263.8690006998
736,175,2,3,1,4,3.5,10,0.0225,1,0.532003325,401.8991474258
737,175,2,3,1,4,3.5,13,0.0225,1,0.8046940486,320.7971391026
738,175,2,3,1,4,3.5,16,0.0225,1,0.5980650836,330.4702661557
739,175,2,3,1,4,3.5,19,0.0225,1,1.0693400167,257.1177508239
740,175,2,3,1,4,3.5,22,0.0225,1,0.4689655172,322.2804811444
741,175,2.5,4,1.5,2,4,10,0.0225,1,20.530726257,167.6021043992
742,175,2.5,4,1.5,2,4,13,0.0225,1,17.4747,162.0428518154
743,175,2.5,4,1.5,2,4,16,0.0225,1,15.5447605829,157.2218484868
744,175,2.5,4,1.5,2,4,19,0.0225,1,10.6909090909,168.1995484678
745,175,2.5,4,1.5,2,4,22,0.0225,1,9.7794117647,165.0070247721
746,175,3,5,2,2.5,2,10,0.0225,1,1.4084507042,337.4657458056
747,175,3,5,2,2.5,2,13,0.0225,1,2.8355387524,244.8784686145
748,175,3,5,2,2.5,2,16,0.0225,1,1.7142857143,270.2355729238
749,175,3,5,2,2.5,2,19,0.0225,1,1.1560693642,291.0031896652
750,175,3,5,2,2.5,2,22,0.0225,1,1.2605042017,269.2493029347
751,75,1,2,1,2,2,2,0.0225,1,14.4727773949,112.6924144202
752,75,1,2,1,2,2,6,0.0225,1,11.7827868852,83.6801054216
753,75,1,2,1,2,2,2,0.045,1,39.0410958904,101.9955700867
754,75,1,2,1,2,2,6,0.045,1,31.7567567568,75.7593390811
755,75,1.5,3,1.5,2.5,2.5,2,0.0225,1,13.6363636364,128.7854001313
756,75,1.5,3,1.5,2.5,2.5,6,0.0225,1,9.9257258609,99.2670188015
757,75,1.5,3,1.5,2.5,2.5,2,0.045,1,43.0976430976,110.5668613224
758,75,1.5,3,1.5,2.5,2.5,6,0.045,1,33.2654446707,83.5740199029
759,75,2,4,2,3,3,2,0.0225,1,11.8438761777,146.556424145
760,75,2,4,2,3,3,6,0.0225,1,6.0191518468,127.3358313523
761,75,2,4,2,3,3,2,0.045,1,36.8632707775,126.4682539396
762,75,2,4,2,3,3,6,0.045,1,27.6839972991,96.4708548835
763,75,2.5,5,2.5,3.5,3.5,2,0.0225,1,12.4161073826,153.9570254643
764,75,2.5,5,2.5,3.5,3.5,6,0.0225,1,7.0521861777,128.8980430066
765,75,2.5,5,2.5,3.5,3.5,2,0.045,1,33.4896182184,139.3481684033
766,75,2.5,5,2.5,3.5,3.5,6,0.045,1,31.951053705,98.1452269472
767,75,3,6,3,4,4,2,0.0225,1,13.7466307278,157.0620918388
768,75,3,6,3,4,4,6,0.0225,1,12.6016260163,112.103933748
769,75,3,6,3,4,4,2,0.045,1,31.7513368984,149.7014910516
770,75,3,6,3,4,4,6,0.045,1,33.110367893,102.3571954132
771,100,1,3,2,3.5,4,2,0.0225,1,17.004048583,128.489826375
772,100,1,3,2,3.5,4,6,0.0225,1,8.1855388813,113.6745763941
773,100,1,3,2,3.5,4,2,0.045,1,48.1093855503,114.4597825439
774,100,1,3,2,3.5,4,6,0.045,1,63.3378016086,72.4104822445
775,100,1.5,4,2.5,4,2,2,0.0225,1,7.7655310621,152.6398168487
776,100,1.5,4,2.5,4,2,6,0.0225,1,5.8321964529,116.4323751637
777,100,1.5,4,2.5,4,2,2,0.045,1,19.0155091032,142.6808110792
778,100,1.5,4,2.5,4,2,6,0.045,1,14.5161290323,108.2457524409
779,100,2,5,3,2,2.5,2,0.0225,1,36.2903225806,133.4784908323
780,100,2,5,3,2,2.5,6,0.0225,1,18.8425302826,115.1475596635
781,100,2,5,3,2,2.5,2,0.045,1,61.5384615385,141.0271353286
782,100,2,5,3,2,2.5,6,0.045,1,77.2330423103,90.6518691702
783,100,2.5,6,1,2.5,3,2,0.0225,1,6.2288422478,251.78118869
784,100,2.5,6,1,2.5,3,6,0.0225,1,5.5363321799,181.5702083996
785,100,2.5,6,1,2.5,3,2,0.045,1,23.1135282121,204.9023663868
786,100,2.5,6,1,2.5,3,6,0.045,1,18.8298587761,152.1176530569
787,100,3,2,1.5,3,3.5,2,0.0225,1,11.8838622552,211.7112639113
788,100,3,2,1.5,3,3.5,6,0.0225,1,7.619047619,170.2377433785
789,100,3,2,1.5,3,3.5,2,0.045,1,29.8457411133,196.2361632252
790,100,3,2,1.5,3,3.5,6,0.045,1,47.0746469401,116.8881247194
791,125,1,4,3,2.5,3.5,2,0.0225,1,19.2151556157,154.2204165325
792,125,1,4,3,2.5,3.5,6,0.0225,1,16.4158686731,112.6924443837
793,125,1,4,3,2.5,3.5,2,0.045,1,49.3951612903,141.8420620846
794,125,1,4,3,2.5,3.5,6,0.045,1,46.581769437,100.2891830524
795,125,1.5,5,1,3,4,2,0.0225,1,14.9293880296,187.6397637922
796,125,1.5,5,1,3,4,6,0.0225,1,18.1451612903,121.9115492536
797,125,1.5,5,1,3,4,2,0.045,1,43.4343434343,165.6041151247
798,125,1.5,5,1,3,4,6,0.045,1,59.3959731544,103.4481652455
799,125,2,6,1.5,3.5,2,2,0.0225,1,7.7309236948,204.1258459663
800,125,2,6,1.5,3.5,2,6,0.0225,1,6.6846725186,148.5620885459
801,125,2,6,1.5,3.5,2,2,0.045,1,18.322147651,192.897381449
802,125,2,6,1.5,3.5,2,6,0.045,1,23.870532704,122.458989053
803,125,2.5,2,2,4,2.5,2,0.0225,1,2.2448979592,334.8441454537
804,125,2.5,2,2,4,2.5,6,0.0225,1,1.1509817197,290.0759242917
805,125,2.5,2,2,4,2.5,2,0.045,1,11.8315508021,242.4214358933
806,125,2.5,2,2,4,2.5,6,0.045,1,10.1740294511,176.7584407477
807,125,3,3,2.5,2,3,2,0.0225,1,12.0240480962,268.6040667184
808,125,3,3,2.5,2,3,6,0.0225,1,8.1855388813,211.7093189742
809,125,3,3,2.5,2,3,2,0.045,1,31.6498316498,245.1032194229
810,125,3,3,2.5,2,3,6,0.045,1,31.6285329744,169.9832190509
811,150,1,5,1.5,4,3,2,0.0225,1,9.6037609134,179.9089570594
812,150,1,5,1.5,4,3,6,0.0225,1,3.7583892617,170.5397262054
813,150,1,5,1.5,4,3,2,0.045,1,17.6352705411,185.1040220894
814,150,1,5,1.5,4,3,6,0.045,1,14.9498327759,135.6096831429
815,150,1.5,6,2,2,3.5,2,0.0225,1,30.8288409704,183.4391499975
816,150,1.5,6,2,2,3.5,6,0.0225,1,32.2033898305,125.3536008482
817,150,1.5,6,2,2,3.5,2,0.045,1,81.6633266533,167.0367653077
818,150,1.5,6,2,2,3.5,6,0.045,1,75.9109311741,118.6713553631
819,150,2,2,2.5,2.5,4,2,0.0225,1,19.7779319917,225.6521165341
820,150,2,2,2.5,2.5,4,6,0.0225,1,31.25,134.3309065529
821,150,2,2,2.5,2.5,4,2,0.045,1,46.1538461538,214.3418971359
822,150,2,2,2.5,2.5,4,6,0.045,1,52.3453433039,142.5093198351
823,150,2.5,3,3,3,2,2,0.0225,1,2.0693135935,405.6076348296
824,150,2.5,3,3,3,2,6,0.0225,1,1.6734279919,301.8599275276
825,150,2.5,3,3,3,2,2,0.045,1,9.8262032086,304.0392432585
826,150,2.5,3,3,3,2,6,0.045,1,17.907444668,172.5864116343
827,150,3,4,1,3.5,2.5,2,0.0225,1,2.3857526882,411.6659998743
828,150,3,4,1,3.5,2.5,6,0.0225,1,1.4031485284,340.6788506805
829,150,3,4,1,3.5,2.5,2,0.045,1,7.8009414929,349.4468513759
830,150,3,4,1,3.5,2.5,6,0.045,1,2.6933701657,345.3751119047
831,175,1,6,2.5,3,2.5,2,0.0225,1,10.7287449393,201.7484489553
832,175,1,6,2.5,3,2.5,6,0.0225,1,6.8320870156,162.5929198432
833,175,1,6,2.5,3,2.5,2,0.045,1,25.6911665543,189.9948817827
834,175,1,6,2.5,3,2.5,6,0.045,1,24.7297297297,133.4206242856
835,175,1.5,2,3,3.5,3,2,0.0225,1,1.9661016949,404.8773686245
836,175,1.5,2,3,3.5,3,6,0.0225,1,1.2320328542,328.053226085
837,175,1.5,2,3,3.5,3,2,0.045,1,18.2186234818,242.8642772038
838,175,1.5,2,3,3.5,3,6,0.045,1,4.2402826855,273.755889409
839,175,2,3,1,4,3.5,2,0.0225,1,1.765704584,460.7222506251
840,175,2,3,1,4,3.5,6,0.0225,1,0.8474576271,408.0049694284
841,175,2,3,1,4,3.5,2,0.045,1,11.8805159538,307.4752050675
842,175,2,3,1,4,3.5,6,0.045,1,15.0068212824,197.2204197096
843,175,2.5,4,1.5,2,4,2,0.0225,1,13.4061569017,330.3463202799
844,175,2.5,4,1.5,2,4,6,0.0225,1,7.4074074074,279.1312181088
845,175,2.5,4,1.5,2,4,2,0.045,1,36.4583333333,298.1823737151
846,175,2.5,4,1.5,2,4,6,0.045,1,48.4344422701,188.0712389232
847,175,3,5,2,2.5,2,2,0.0225,1,3.1523642732,441.151861643
848,175,3,5,2,2.5,2,6,0.0225,1,2.3346303502,338.0807589392
849,175,3,5,2,2.5,2,2,0.045,1,22.691292876,287.8660840847
850,175,3,5,2,2.5,2,6,0.045,1,7.6817558299,286.3846013596
